Patient,Role,Period,Policy,TIR,TBR,TBR54,TAR,MeanCGM,GMI,CV
child#009,child,Ramadan,0.9,95.15277777777777,0.47916666666666663,0.0,4.368055555555555,126.24308955503841,6.329734702156519,24.769761814316706
child#009,child,Ramadan,0.8,79.58333333333333,0.04861111111111111,0.0,20.368055555555557,141.51087717184436,6.694940181950518,27.01531682028766
child#009,child,Ramadan,0.7,62.645833333333336,0.013888888888888888,0.0,37.34027777777777,159.17979020927254,7.117580581805799,29.230850746855708
child#009,child,Ramadan,0.6,54.50000000000001,0.16666666666666669,0.0,45.33333333333333,177.3005707971852,7.551029653468671,32.32643515483321
child#010,child,PreRamadan,1.0,82.29166666666666,0.5,0.0,17.208333333333332,133.37190759416768,6.5002560296524905,32.29012913815122
child#010,child,Ramadan,1.0,85.05555555555556,0.7847222222222222,0.04166666666666667,14.159722222222223,136.42062349547172,6.573181314011684,34.873023180765145
child#010,child,Ramadan,0.9,84.11111111111111,0.3263888888888889,0.034722222222222224,15.562500000000002,144.2968758321851,6.761581269905868,32.17687327349198
child#010,child,Ramadan,0.8,79.39583333333333,0.0625,0.013888888888888888,20.541666666666668,154.6000828793964,7.008033982475162,29.457444674780508
child#010,child,Ramadan,0.7,60.98611111111111,0.027777777777777776,0.0,38.98611111111111,168.26034509923994,7.334787454773819,29.48821854009976
child#010,child,Ramadan,0.6,51.763888888888886,0.0,0.0,48.236111111111114,185.019955712066,7.73567734063262,30.539377878867963
adolescent#001,adolescent,PreRamadan,1.0,99.69444444444444,0.08333333333333334,0.0,0.2222222222222222,117.5388218365307,6.1215286183298145,15.416653940661924
adolescent#001,adolescent,Ramadan,1.0,98.8263888888889,0.2152777777777778,0.0,0.9583333333333333,121.07001552505648,6.205994771359351,19.477968414488007
adolescent#001,adolescent,Ramadan,0.9,98.83333333333333,0.13194444444444445,0.0,1.0347222222222223,126.99277467654245,6.347667170262896,19.050224538058668
adolescent#001,adolescent,Ramadan,0.8,96.63888888888889,0.05555555555555555,0.0,3.3055555555555554,134.27665550087977,6.5218975995810435,19.24238237811995
adolescent#001,adolescent,Ramadan,0.7,89.11111111111111,0.0,0.0,10.888888888888888,142.10535504745908,6.709160092735221,19.56402908557723
adolescent#001,adolescent,Ramadan,0.6,77.72916666666667,0.0,0.0,22.270833333333336,150.51344305020376,6.910281557760874,19.966877571852322
adolescent#002,adolescent,PreRamadan,1.0,66.875,1.4027777777777777,0.0625,31.722222222222225,154.4347248417415,7.004078618214457,30.793686445316826
adolescent#002,adolescent,Ramadan,1.0,61.92361111111111,0.8263888888888888,0.0763888888888889,37.25,163.9237461836108,7.23105600871197,35.94055899955916
adolescent#002,adolescent,Ramadan,0.9,60.75000000000001,0.20833333333333334,0.0,39.04166666666667,169.43676994906133,7.362927537181546,33.97773322146299
adolescent#002,adolescent,Ramadan,0.8,58.8125,0.09027777777777778,0.0,41.09722222222222,175.40339182123614,7.505649132363969,31.998261941810803
adolescent#002,adolescent,Ramadan,0.7,55.541666666666664,0.0,0.0,44.458333333333336,181.90415287485658,7.66114733676657,30.100517357853697
adolescent#002,adolescent,Ramadan,0.6,49.02777777777778,0.0,0.0,50.97222222222222,189.06558486233905,7.832448789907151,28.23559750071919
adolescent#003,adolescent,PreRamadan,1.0,90.85416666666667,0.2361111111111111,0.0,8.909722222222221,131.91228321660304,6.465341814541144,23.533550270587096
